['AngelaMazur', 'EzypoIiorz', '1-0, AngelaMazur won by checkmate', '2025.01.04', "Queen's Gambit Declined: Marshall Defense", None]
['EzypoIiorz', 'myKingkral', '1-0, EzypoIiorz won by checkmate', '2025.01.05', 'Van Geet Opening: Grünfeld Defense', None]
['myKingkral', 'EzypoIiorz', '1-0, myKingkral won by resignation', '2025.01.05', "King's Pawn Game: Wayward Queen Attack", None]
['EzypoIiorz', 'anemos_77', '1-0, EzypoIiorz won by checkmate', '2025.01.05', 'Four Knights Game: Spanish Variation, Rubinstein Variation', None]
['thtduk3', 'EzypoIiorz', '1-0, thtduk3 won by checkmate', '2025.01.05', 'Scotch Game', None]
['EzypoIiorz', 'HPVIRUSPY', '0-1, HPVIRUSPY won by checkmate', '2025.01.05', 'Gunderam Defense', None]
['rdavilal', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2025.01.05', "King's Pawn Game: Wayward Queen Attack", None]
['EzypoIiorz', 'poompel', '1-0, EzypoIiorz won on time', '2025.01.06', "Petrov's Defense: Three Knights Game", None]
['sumangala1971', 'EzypoIiorz', '1/2-1/2, Game drawn by repetition', '2025.01.06', 'Barnes Opening: Gedult Gambit', None]
['FunMaster233', 'EzypoIiorz', '0-1, EzypoIiorz won on time', '2025.01.06', "Queen's Gambit Declined: Chigorin Defense, Exchange Variation", None]
['EzypoIiorz', 'Kapedan7', '0-1, Kapedan7 won on time', '2025.01.06', 'Philidor Defense', None]
['EzypoIiorz', 'St-Garm-of-Gerp', '0-1, St-Garm-of-Gerp won by checkmate', '2025.01.06', 'Sicilian Defense: Kan Variation, Wing Attack, Fianchetto Variation', None]
['shooter1121', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2025.01.06', 'Scandinavian Defense', None]
['gabrielstahl', 'EzypoIiorz', '1-0, gabrielstahl won - game abandoned', '2025.01.06', "King's Pawn Game", None]
['EzypoIiorz', 'gabrielstahl', '0-1, gabrielstahl won - game abandoned', '2025.01.06', "King's Knight Opening", None]
['EzypoIiorz', 'RadEE007', '0-1, RadEE007 won by checkmate', '2025.01.06', 'Vienna Game: Falkbeer Variation', None]
['EzypoIiorz', 'imRavinder', '1-0, EzypoIiorz won by checkmate', '2025.01.06', 'Slav Indian: Kudischewitsch Gambit', None]
['susanamarisamended', 'EzypoIiorz', '1-0, susanamarisamended won by checkmate', '2025.01.06', 'Ponziani Opening: Caro Gambit', None]
['ygajare', 'EzypoIiorz', '1-0, ygajare won by checkmate', '2025.01.06', "Van't Kruijs Opening", None]
